STUNDE,ZEIT,MONTAG,DIENSTAG,MITTWOCH,DONNERSTAG,FREITAG
1,7:50 - 8:35,Unterricht,Unterricht,Unterricht,Unterricht,Unterricht
2,8:40 - 9:25,Unterricht,Unterricht,Unterricht,Unterricht,Unterricht
,,,1. Große Pause,,,
3,9:40 - 10:25,Unterricht,Unterricht,Unterricht,Unterricht,Unterricht
4,10:30 - 11.15,Unterricht,Unterricht,Unterricht,Unterricht,Unterricht
,,,2. Große Pause,,,
5,11:30 - 12:15,Unterricht,Unterricht,Unterricht,Unterricht,Unterricht
6,12:20 - 13:05,Unterricht,Unterricht,Unterricht,Unterricht,Unterricht
,,,Mittagspause,,,
7,14:00 - 14:45,Unterricht,Unterricht,Unterricht,Unterricht, 
8,14:50 - 15:35,Unterricht,Unterricht,Unterricht,Unterricht,
